# Landolt Börnstein, gamma n -> n pi+ pi-
# plab  Dplab    XS      error  
0.373	0.019	0.00430	0.00080	Carbonara,NCA36,219-76
0.416	0.019	0.00660	0.00110	Carbonara,NCA36,219-76
0.458	0.019	0.01150	0.00150	Carbonara,NCA36,219-76
0.501	0.019	0.02280	0.00220	Carbonara,NCA36,219-76
0.544	0.019	0.03610	0.00290	Carbonara,NCA36,219-76
0.586	0.019	0.04730	0.00360	Carbonara,NCA36,219-76
0.629	0.019	0.05190	0.00390	Carbonara,NCA36,219-76
0.672	0.018	0.05670	0.00440	Carbonara,NCA36,219-76
0.714	0.019	0.06090	0.00470	Carbonara,NCA36,219-76
0.756	0.019	0.05360	0.00480	Carbonara,NCA36,219-76
0.799	0.019	0.04690	0.00490	Carbonara,NCA36,219-76
0.842	0.019	0.05570	0.00600	Carbonara,NCA36,219-76
0.885	0.018	0.05520	0.00700	Carbonara,NCA36,219-76
0.927	0.019	0.05320	0.00830	Carbonara,NCA36,219-76
7.500	0.250	0.01500	0.00150	Alexander,NPB 1 04,397-76
